epoch,latency_ms,timestamp
6,2087,1766543915651
6,2041,1766543943356
6,2040,1766543946998
6,2042,1766543950375
6,2048,1766543953637
6,2042,1766543956782
6,2038,1766543960317
6,2037,1766543963217
6,2043,1766543966115
6,2046,1766543969380
6,2045,1766543975095
6,2036,1766543977853
6,2035,1766543980872
6,2040,1766543983821
6,2042,1766543987018
6,2038,1766545571085
1,2033,1766545629928
2,2036,1766545633982
3,2039,1766545638041
4,2040,1766545642102
5,2031,1766545646153
6,2033,1766545662943
7,2034,1766545665996
8,2047,1766545669063
9,2040,1766545672123
10,2038,1766545675180
11,2040,1766545678239
12,2042,1766545681299
13,2036,1766545684356
14,2042,1766545687417
15,2039,1766545690471
16,2042,1766545693532
17,2039,1766545696589
18,2033,1766545699639
19,2036,1766545702691
20,2040,1766545705750
21,2038,1766545708810
22,2039,1766545711865
23,2037,1766545714920
24,2045,1766545717984
25,2028,1766545721024
42,60,1766545789459
31,112,1766545789463
32,108,1766545789463
40,77,1766545789464
30,103,1766545789464
26,87,1766545789464
35,95,1766545789465
36,99,1766545789465
39,84,1766545789466
33,73,1766545789466
53,57,1766545789525
47,68,1766545789526
38,103,1766545789527
37,110,1766545789527
41,98,1766545789527
49,76,1766545789528
34,123,1766545789528
28,90,1766545789528
27,83,1766545789529
29,117,1766545789529
56,57,1766545789588
54,68,1766545789590
48,86,1766545789591
43,75,1766545789591
44,105,1766545789592
52,94,1766545789593
50,120,1766545789594
45,84,1766545789594
55,114,1766545789595
51,103,1766545789596
59,65,1766545789662
75,85,1766545789665
46,128,1766545789666
58,121,1766545789666
57,109,1766545789666
62,82,1766545789667
73,93,1766545789667
69,100,1766545789668
64,116,1766545789668
61,105,1766545789668
72,38,1766545789708
68,98,1766545789709
63,53,1766545789710
60,105,1766545789710
65,87,1766545789711
67,81,1766545789711
71,76,1766545789711
66,94,1766545789712
74,71,1766545789712
70,64,1766545789712
1,2082,1766545894126
2,2035,1766545898184
3,2035,1766545902241
4,2037,1766545906298
5,2038,1766545910357
