load,episode,mean_reward,std_reward,n_seeds
load_0.30,1,-13.083930269896982,0.17538499504468322,3
load_0.30,2,-8.854954450101843,3.9068271866789916,3
load_0.30,3,-11.955674860704756,1.65392010763453,3
load_0.30,4,-11.974296959164912,1.7388453140821258,3
load_0.30,5,-12.018101953716458,1.6826938549484596,3
load_0.30,6,-8.598000189098515,3.9477505862125954,3
load_0.30,7,-8.535366974479343,3.8718950835775563,3
load_0.30,8,-10.503200645154598,1.947178613774513,3
load_0.30,9,-10.044798685596831,4.467565970803923,3
load_0.30,10,-7.432699015939565,2.636308951739512,3
load_0.30,11,-10.108154549573412,4.512974842299068,3
load_0.30,12,-6.884385980704404,4.465630920511833,3
load_0.30,13,-3.726708074534162,0.0,3
load_0.30,14,-3.726708074534162,0.0,3
load_0.30,15,-3.726708074534162,0.0,3
load_0.30,16,-3.726708074534162,0.0,3
load_0.30,17,-3.726708074534162,0.0,3
load_0.30,18,-3.726708074534162,0.0,3
load_0.30,19,-3.726708074534162,0.0,3
load_0.30,20,-3.726708074534162,0.0,3
load_0.30,21,-3.726708074534162,0.0,3
load_0.30,22,-3.726708074534162,0.0,3
load_0.30,23,-3.726708074534162,0.0,3
load_0.30,24,-3.726708074534162,0.0,3
load_0.30,25,-3.726708074534162,0.0,3
load_0.30,26,-3.726708074534162,0.0,3
load_0.30,27,-3.726708074534162,0.0,3
load_0.30,28,-3.726708074534162,0.0,3
load_0.30,29,-3.726708074534162,0.0,3
load_0.30,30,-3.726708074534162,0.0,3
load_0.70,1,-15.93177473058257,0.6488508365196003,3
load_0.70,2,-19.257776070033596,4.08069539100048,3
load_0.70,3,-16.980541697381387,1.945564525003601,3
load_0.70,4,-7.231765508423142,2.4425990506859248,3
load_0.70,5,-10.012993041505085,0.26246968961346884,3
load_0.70,6,-12.141068074088631,2.057604168785316,3
load_0.70,7,-14.067146524778943,1.8828775157277007,3
load_0.70,8,-12.816259654658111,3.012469259226801,3
load_0.70,9,-18.97523302502844,9.525185040978513,3
load_0.70,10,-13.258609069382155,4.024298511903731,3
load_0.70,11,-16.60920702919832,5.6741438724799655,3
load_0.70,12,-10.384181236268311,0.0,3
load_0.70,13,-5.504587155963301,0.0,3
load_0.70,14,-12.004941719356156,2.62561189647069,3
load_0.70,15,-8.958943860882982,2.4425990506859248,3
load_0.70,16,-10.220624966687987,0.3542774436778112,3
load_0.70,17,-13.941907529637566,2.574452550201499,3
load_0.70,18,-9.133251956330247,5.131706973984795,3
load_0.70,19,-11.394423983245614,5.122736970179197,3
load_0.70,20,-14.457916119934296,2.715549875486018,3
load_0.70,21,-12.537762128633531,4.98077735338782,3
load_0.70,22,-8.779687703967928,2.326228912737961,3
load_0.70,23,-11.949545677853303,2.1781030574630207,3
load_0.70,24,-12.84936984399142,5.3305804115954825,3
load_0.70,25,-10.585475220984653,0.14233634160498623,3
load_0.70,26,-10.45701952381137,4.175364840612246,3
load_0.70,27,-5.504587155963301,0.0,3
load_0.70,28,-7.231765508423141,2.4425990506859248,3
load_0.70,29,-8.674445129848674,4.482856137465196,3
load_0.70,30,-12.23991009049587,9.525185040978513,3
load_1.10,1,-19.092986534545204,2.9525106206698,3
load_1.10,2,-28.453277804463074,11.011413828945432,3
load_1.10,3,-21.23776279027902,2.3584153537985735,3
load_1.10,4,-16.04770320273522,5.301200456509358,3
load_1.10,5,-13.78204196859294,3.3169694727444994,3
load_1.10,6,-11.179293415126766,0.923449814124766,3
load_1.10,7,-15.790351768212531,5.483501743637484,3
load_1.10,8,-72.94015617918897,77.49314229508191,3
load_1.10,9,-26.074147701538738,12.884579000952971,3
load_1.10,10,-27.459729178920952,12.595561767516818,3
load_1.10,11,-17.68743888819832,4.25207805462257,3
load_1.10,12,-10.526315789473689,0.0,3
load_1.10,13,-11.970545797387544,0.363949888998161,3
load_1.10,14,-14.783444794718898,2.5110186676433965,3
load_1.10,15,-12.116157267115108,1.7763568394002505e-15,3
load_1.10,16,-12.227897231910234,0.363949888998161,3
load_1.10,17,-10.921941980604075,0.559499925126605,3
load_1.10,18,-18.413748183504577,4.933118006859583,3
load_1.10,19,-15.417044772268392,2.1154948571098813,3
load_1.10,20,-27.5141774220783,12.153964520313414,3
load_1.10,21,-15.215369143265235,4.980709799884491,3
load_1.10,22,-14.934240853923852,3.677939528152074,3
load_1.10,23,-12.485248666432925,0.0,3
load_1.10,24,-10.526315789473689,0.0,3
load_1.10,25,-18.334561449872208,0.0,3
load_1.10,26,-16.009621554935983,3.038032802387773,3
load_1.10,27,-14.502676819164721,3.9449239217010894,3
load_1.10,28,-12.485248666432925,0.0,3
load_1.10,29,-10.526315789473689,0.0,3
load_1.10,30,-15.790351768212531,5.483501743637484,3
