load,episode,mean_reward,std_reward,n_seeds
load_1.00,1,-inf,nan,1
load_1.00,2,-45.7921301760778,0.0,1
load_1.00,3,-36.22219206207399,0.0,1
load_1.00,4,-36.22219206207399,0.0,1
load_1.00,5,-45.7921301760778,0.0,1
load_1.00,6,-45.7921301760778,0.0,1
load_1.00,7,-36.42590864005198,0.0,1
load_1.00,8,-42.85714285714286,0.0,1
load_1.00,9,-inf,nan,1
load_1.00,10,-inf,nan,1
load_1.00,11,-inf,nan,1
load_1.00,12,-36.690593567467964,0.0,1
load_1.00,13,-42.85714285714286,0.0,1
load_1.00,14,-inf,nan,1
load_1.00,15,-inf,nan,1
load_1.00,16,-36.22219206207399,0.0,1
load_1.00,17,-35.84744126438985,0.0,1
load_1.00,18,-42.85714285714286,0.0,1
load_1.00,19,-42.85714285714286,0.0,1
load_1.00,20,-35.84744126438985,0.0,1
load_1.00,21,-36.22219206207399,0.0,1
load_1.00,22,-42.85714285714286,0.0,1
load_1.00,23,-45.7921301760778,0.0,1
load_1.00,24,-36.42590864005198,0.0,1
load_1.00,25,-35.84744126438985,0.0,1
load_1.00,26,-36.690593567467964,0.0,1
load_1.00,27,-36.22219206207399,0.0,1
load_1.00,28,-inf,nan,1
load_1.00,29,-35.84744126438985,0.0,1
load_1.00,30,-36.690593567467964,0.0,1
load_1.00,31,-45.7921301760778,0.0,1
load_1.00,32,-42.85714285714286,0.0,1
load_1.00,33,-inf,nan,1
load_1.00,34,-42.85714285714286,0.0,1
load_1.00,35,-45.7921301760778,0.0,1
load_1.00,36,-inf,nan,1
load_1.00,37,-36.42590864005198,0.0,1
load_1.00,38,-42.85714285714286,0.0,1
load_1.00,39,-36.22219206207399,0.0,1
load_1.00,40,-45.7921301760778,0.0,1
load_1.00,41,-36.690593567467964,0.0,1
load_1.00,42,-42.85714285714286,0.0,1
load_1.00,43,-45.7921301760778,0.0,1
load_1.00,44,-inf,nan,1
load_1.00,45,-45.7921301760778,0.0,1
load_1.00,46,-42.85714285714286,0.0,1
load_1.00,47,-45.7921301760778,0.0,1
load_1.00,48,-36.690593567467964,0.0,1
load_1.00,49,-36.42590864005198,0.0,1
load_1.00,50,-36.42590864005198,0.0,1
